,MI_dir_L.1_weight,MI_dir_L.1_mean,MI_dir_L.1_variance,H_L.1_weight,H_L.1_mean,H_L.1_variance,HH_L.1_mean,HH_L.1_std,HH_L.1_magnitude,HH_L.1_radius,HH_L.1_covariance,HH_L.1_pcc,HH_jit_L.1_weight,HH_jit_L.1_mean,HH_jit_L.1_variance,HpHp_L.1_weight,HpHp_L.1_mean,HpHp_L.1_std,HpHp_L.1_magnitude,HpHp_L.1_radius,HpHp_L.1_covariance,HpHp_L.1_pcc,HH_L.1_weight
62,175.9177213,131.186471,35885.22794,175.9177213,131.186471,35885.22794,6,1.17E-01,6,1.36E-01,,,4.2186214,33.79122182,58552.8139,4.2186214,6,1.17E-01,6,1.36E-01,,,4.2186214
621,175.76635,13.614457,3579.53517,175.76635,13.614457,3579.53517,6,9.54E-01,6,9.90E-01,,,4.9415462,32.9921393,57148.25486,4.9415462,6,9.54E-01,6,9.90E-01,,,4.9415462
622,175.4919437,13.21277,35534.3464,175.4919437,13.21277,35534.3464,6,6.74E-01,6,4.55E-01,,,41.6581545,32.222343,558.39223,41.6581545,6,6.74E-01,6,4.55E-01,,,41.6581545
623,175.282518,129.811566,35359.5455,175.282518,129.811566,35359.5455,6,9.54E-01,6,9.90E-01,,,42.375235,31.4854299,5455.89462,42.375235,6,9.54E-01,6,9.90E-01,,,42.375235
624,175.695171,129.4127421,35185.2456,175.695171,129.4127421,35185.2456,6,,6,,,,43.7785239,3.77772112,53261.67967,43.7785239,6,,6,,,,43.7785239
625,174.8597237,129.157797,3511.42243,174.8597237,129.157797,3511.42243,6,9.54E-01,6,9.90E-01,,,43.7816892,3.97566,5264.89934,43.7816892,6,9.54E-01,6,9.90E-01,,,43.7816892
626,174.651459,128.626167,34838.7422,174.651459,128.626167,34838.7422,6,9.54E-01,6,9.90E-01,,,44.47764993,29.44336754,5912.9215,44.47764993,6,9.54E-01,6,9.90E-01,,,44.47764993
627,174.4458397,128.2272533,34665.2522,174.4458397,128.2272533,34665.2522,6,,6,,,,45.176227,28.81366561,4983.31117,45.176227,6,,6,,,,45.176227
628,174.245336,127.8356839,34492.8173,174.245336,127.8356839,34492.8173,6,,6,,,,45.85852339,28.2716115,48733.79145,45.85852339,6,,6,,,,45.85852339
629,174.374485,127.445976,3432.91419,174.374485,127.445976,3432.91419,6,9.54E-01,6,9.90E-01,,,46.54188232,27.6225788,4772.25936,46.54188232,6,9.54E-01,6,9.90E-01,,,46.54188232
63,173.833574,127.579162,34149.49654,173.833574,127.579162,34149.49654,6,,6,,,,47.21991896,27.588145,4676.73489,47.21991896,6,,6,,,,47.21991896
631,173.6318362,126.671787,33978.5683,173.6318362,126.671787,33978.5683,6,6.74E-01,6,4.55E-01,,,47.89349847,26.5147273,45745.39583,47.89349847,6,6.74E-01,6,4.55E-01,,,47.89349847
632,174.6318241,126.37929,33799.7917,174.6318241,126.37929,33799.7917,164.87796,23.44499,34.982771,114188.375,-1277.831961,-0.1744428,13.33394,1.55451567,47.65998439,1,74,,74,,,,13.33394
633,175.6149658,126.26329,33627.9664,175.6149658,126.26329,33627.9664,163.866637,229.5389456,32.97183,113381.6168,-928.5393977,-0.1276691,14.3231186,1.539288554,47.22565362,1.99993464,69.9998692,3.999999995,11.8625199,15.99999996,,,14.3231186
634,176.614917,126.388552,3346.59933,176.614917,126.388552,3346.59933,164.188461,228.46727,33.41437,113152.9818,-969.9462173,-0.13399172,15.323896,1.52467414,46.7995472,2.9999298,11.11659,56.66329124,132.5754747,321.728574,,,15.323896
635,177.594227,126.485135,33292.6763,177.594227,126.485135,33292.6763,163.1859964,227.58819,324.971724,137135.5927,-567.9323412,-0.73177,16.317475,1.51491374,46.3851536,3.99955137,98.999645,52.6431512,684.463855,38459.336,3186.92825,0.957438676,16.317475
636,178.594284,125.7122847,33126.26979,178.594284,125.7122847,33126.26979,162.283461,226.713442,324.5178892,136986.7299,-843.11137,-0.1436325,17.31741,1.49641563,45.9693784,4.99955192,92.3991198,48.89785676,683.122336,38456.7581,2871.424,0.951622989,17.31741
637,179.594284,125.37983,32961.562,179.594284,125.37983,32961.562,161.3914191,225.8491488,324.742813,13684.975,-1113.185188,-0.1383194,18.31741,1.482599655,45.56543319,5.99955192,87.99893729,45.785315,682.541915,38454.9815,26646.14629,0.945123966,18.31741
638,18.5941998,125.59979,32798.4682,18.5941998,125.59979,32798.4682,16.5187562,224.997877,323.645734,136698.2474,-1378.22394,-0.171935,19.317349,1.46936552,45.16851462,6.9995584,84.856328,43.1216486,682.14315,38453.743,24862.749,0.937148972,19.317349
639,181.5842722,124.7698557,32632.1146,181.5842722,124.7698557,32632.1146,159.734395,224.1249478,321.461124,13583.43,-17.537416,-0.12654373,11.347259,1.45579469,44.7782461,1,74,,74,,,,11.347259
64,182.574445,124.447964,32472.19141,182.574445,124.447964,32472.19141,158.892277,223.291637,319.353611,134945.4677,-663.2544419,-0.8388137,111.2987563,1.44278598,44.3945492,1.999945881,69.99989176,3.999999999,11.8625782,15.99999999,,,111.2987563
641,183.568941,127.24115,33718.62384,183.568941,127.24115,33718.62384,163.1497978,226.787397,321.4926135,135534.786,-1544.478717,-0.1923182,112.29545,1.429971251,44.174731,2.99988558,259.71366,267.389152,269.379279,71454.5614,,,112.29545
642,184.55943,126.982774,33556.1289,184.55943,126.982774,33556.1289,162.2922234,225.9666527,321.658145,13292.531,-1674.1625,-0.2114848,113.2843894,1.417473288,43.64645455,3.999591426,21.754233,246.1176486,39.3868537,67332.185,281.2842,0.66352767,113.2843894
643,185.55943,126.58211,33395.16876,185.55943,126.58211,33395.16876,161.4496567,225.154533,32.647383,13278.2239,-1842.43654,-0.2335844,114.2843894,1.457253,43.2819778,4.999591426,181.7979728,227.6197764,29.43934,59571.5612,18314.9796,0.469262419,114.2843894
644,186.5467449,126.2981613,3323.89181,186.5467449,126.2981613,3323.89181,16.691837,224.3224896,318.59534,131972.5318,-1486.68843,-0.18974177,115.281854,1.39291413,42.92342374,1,74,,74,,,,115.281854
645,187.5351867,125.9766315,3372.97792,187.5351867,125.9766315,3372.97792,159.876796,223.5268591,316.643269,131149.6683,-1155.8884,-0.1484956,116.2746627,1.381788,42.575995,1.99993841,69.9998768,3.999999998,11.8625675,15.99999998,,,116.2746627
646,188.5227473,128.798696,3439.98589,188.5227473,128.798696,3439.98589,164.1244818,227.235688,318.774237,131795.6399,-215.748715,-0.2547439,117.26695,1.3693128,42.22347871,2.99985383,266.126332,277.296514,276.113616,76845.1984,,,117.26695
647,189.493811,128.4672937,3423.19898,189.493811,128.4672937,3423.19898,163.294669,226.4511394,317.896481,12924.9,-2333.31737,-0.299279,118.2489446,1.35792228,41.88162376,3.999344787,216.12829,255.217217,3.2181961,68488.9432,25778.27173,0.694135989,118.2489446
648,19.4918191,128.1393673,347.88232,19.4918191,128.1393673,347.88232,162.4787651,225.674114,317.472348,12964.9783,-2436.94563,-0.31356629,119.247778,1.346545491,41.5457786,4.99932957,185.9968434,236.182868,279.487272,59593.46341,1754.17651,0.51714262,119.247778
649,191.481428,127.8566277,3398.17661,191.481428,127.8566277,3398.17661,161.742921,224.8773342,315.547457,12831.133,-294.34338,-0.27116656,12.2411872,1.335412397,41.21496753,1,74,,74,,,,12.2411872
65,192.4728636,127.5352493,33751.7815,192.4728636,127.5352493,33751.7815,16.9531964,224.1153339,313.6682862,127541.2729,-1774.594473,-0.23125952,121.235825,1.32445469,4.88945853,1.99995544,69.9999181,3.999999999,11.8625913,15.99999999,,,121.235825
651,193.4715868,131.848362,37157.86562,193.4715868,131.848362,37157.86562,167.565295,234.57574,317.8941,12954.9246,-373.534231,-0.3826873,122.23528,1.3136232,4.56915627,2.999942137,367.33988,42.575853,374.718499,176826.6293,,,122.23528
652,194.4467751,131.597173,36988.95483,194.4467751,131.597173,36988.95483,166.6827422,233.7942378,316.9366661,128818.1371,-2591.3689,-0.32453343,123.2193448,1.33112332,4.25341499,3.999557412,291.995921,386.8362842,372.133479,1692.6832,48267.2552,0.4451571,123.2193448
653,195.4419499,131.1745297,36821.54251,195.4419499,131.1745297,36821.54251,165.8721984,233.25192,316.5111372,128666.1815,-2412.72122,-0.3315769,124.2162871,1.29265481,39.94284198,4.999458162,246.7918374,357.675141,337.695956,1597.5222,49511.67795,0.493899716,124.2162871
654,196.4379698,13.8834733,3665.65265,196.4379698,13.8834733,3665.65265,165.1384755,232.236661,316.1272369,128511.8149,-225.33288,-0.28371348,125.2137575,1.28235395,39.637228,1,74,,74,,,,125.2137575
655,197.4296357,13.5548323,36486.22895,197.4296357,13.5548323,36486.22895,164.3529617,231.4817148,312.8868381,127194.9697,-1777.86248,-0.2261325,126.284452,1.272238319,39.33576589,1.999957574,69.99991515,3.999999999,11.8625943,15.99999999,,,126.284452
656,198.4277473,133.8277877,38417.24514,198.4277473,133.8277877,38417.24514,169.1926787,236.89383,315.455924,128283.4572,-2719.939361,-0.3385135,127.272379,1.262247862,39.3913669,2.999938444,36.6714663,334.71498,315.4732766,11234.648,,,127.272379
657,199.3765298,133.4875882,38247.51748,199.3765298,133.4875882,38247.51748,168.3875829,236.1425159,315.3835824,127683.355,-2262.568416,-0.2827766,128.174437,1.25269535,38.74617486,3.999164111,246.491237,38.287715,337.9884938,123664.6271,38625.28677,0.445257142,128.174437
658,2.3765285,133.157844,3879.25589,2.3765285,133.157844,3879.25589,167.5949523,235.39782,314.961992,12753.3826,-291.521123,-0.2621629,129.174428,1.242992874,38.45827655,4.99916484,21.3867829,284.87276,312.6355636,113446.3357,39634.934,0.494148134,129.174428
659,21.289238,133.3788571,379.2396,21.289238,133.3788571,379.2396,179,4.26E-01,179,1.82E-01,,,3.26717921,384.7631771,528774.6762,1,179,,179,,,,3.26717921
66,21.261233,133.14262,37738.5464,21.261233,133.14262,37738.5464,6,,6,,,,48.56329997,25.9892976,44816.55234,48.56329997,6,,6,,,,48.56329997
661,2.8715661,132.657747,37577.7966,2.8715661,132.657747,37577.7966,6,,6,,,,49.22798114,25.48166517,43918.59244,49.22798114,6,,6,,,,49.22798114
662,199.851873,132.2871667,37415.29527,199.851873,132.2871667,37415.29527,6,9.54E-01,6,9.90E-01,,,49.72156972,24.9991813,4346.64384,49.72156972,6,9.54E-01,6,9.90E-01,,,49.72156972
663,199.4274597,131.9246932,37253.75251,199.4274597,131.9246932,37253.75251,6,1.17E-01,6,1.36E-01,,,5.37872186,24.5227765,4223.3935,5.37872186,6,1.17E-01,6,1.36E-01,,,5.37872186
664,199.5412,131.5633534,3792.45347,199.5412,131.5633534,3792.45347,6,9.54E-01,6,9.90E-01,,,51.376285,24.618167,41387.224,51.376285,6,9.54E-01,6,9.90E-01,,,51.376285
665,198.674937,131.231487,36931.4118,198.674937,131.231487,36931.4118,6,9.54E-01,6,9.90E-01,,,51.67899,23.6155755,4596.2317,51.67899,6,9.54E-01,6,9.90E-01,,,51.67899
666,198.31221,13.844831,3677.59995,198.31221,13.844831,3677.59995,6,9.54E-01,6,9.90E-01,,,52.32951,23.1833365,39829.911,52.32951,6,9.54E-01,6,9.90E-01,,,52.32951
667,197.9286494,13.4861557,3661.5183,197.9286494,13.4861557,3661.5183,6,9.54E-01,6,9.90E-01,,,52.9587583,22.764491,3986.93299,52.9587583,6,9.54E-01,6,9.90E-01,,,52.9587583
668,197.565346,13.1293818,36449.76613,197.565346,13.1293818,36449.76613,6,9.54E-01,6,9.90E-01,,,53.5939859,22.35833734,38366.29324,53.5939859,6,9.54E-01,6,9.90E-01,,,53.5939859
669,197.21357,129.7737585,36289.74398,197.21357,129.7737585,36289.74398,6,9.54E-01,6,9.90E-01,,,54.2239597,21.96443748,37666.99891,54.2239597,6,9.54E-01,6,9.90E-01,,,54.2239597
67,196.835744,129.4192721,36129.98171,196.835744,129.4192721,36129.98171,6,1.35E-01,6,1.82E-01,,,54.847537,21.58231796,36988.979,54.847537,6,1.35E-01,6,1.82E-01,,,54.847537
671,196.479538,129.659566,3597.4974,196.479538,129.659566,3597.4974,6,1.17E-01,6,1.36E-01,,,55.4758329,21.21115476,36328.79544,55.4758329,6,1.17E-01,6,1.36E-01,,,55.4758329
672,196.1179438,128.7137911,35811.2838,196.1179438,128.7137911,35811.2838,6,9.54E-01,6,9.90E-01,,,56.8617671,2.8585388,35688.21483,56.8617671,6,9.54E-01,6,9.90E-01,,,56.8617671
673,195.7677431,128.3627947,35652.3579,195.7677431,128.3627947,35652.3579,6,9.54E-01,6,9.90E-01,,,56.74379,2.569232,3565.6231,56.74379,6,9.54E-01,6,9.90E-01,,,56.74379
674,195.4148982,128.12966,35493.69966,195.4148982,128.12966,35493.69966,6,9.54E-01,6,9.90E-01,,,57.382248,2.1642241,3446.26495,57.382248,6,9.54E-01,6,9.90E-01,,,57.382248
675,195.636257,127.6642899,35335.33261,195.636257,127.6642899,35335.33261,6,1.17E-01,6,1.36E-01,,,57.9119445,19.8295865,33871.44816,57.9119445,6,1.17E-01,6,1.36E-01,,,57.9119445
676,195.62478,127.3899612,35169.34687,195.62478,127.3899612,35169.34687,166.7889148,234.5414859,314.943216,126478.9854,-276.636199,-0.2623653,116.1173619,1.37543226,4.14624816,1,74,,74,,,,116.1173619
677,196.597999,127.118271,354.8869,196.597999,127.118271,354.8869,79.495646,24.767285,111.468613,928.9643721,5.33122418,0.815445,4.646112594,53.6449857,6883.242448,1,74,,74,,,,4.646112594
678,196.78978,126.777642,34849.64115,196.78978,126.777642,34849.64115,6,1.17E-01,6,1.36E-01,,,58.51234952,19.5776246,33298.52784,58.51234952,6,1.17E-01,6,1.36E-01,,,58.51234952
679,197.1526282,126.593677,34686.93294,197.1526282,126.593677,34686.93294,78.157218,22.4761844,11.483996,863.6724537,4.516412434,0.759294,5.61491638,44.26728637,662.945755,1.9931811,74,,74,,,,5.61491638
68,197.346525,126.1723487,34533.46723,197.346525,126.1723487,34533.46723,6,1.17E-01,6,1.36E-01,,,59.1815551,19.19464639,3274.87574,59.1815551,6,1.17E-01,6,1.36E-01,,,59.1815551
681,196.9834477,125.836423,3438.2724,196.9834477,125.836423,3438.2724,6,1.17E-01,6,1.36E-01,,,59.73454,18.88987167,32197.9518,59.73454,6,1.17E-01,6,1.36E-01,,,59.73454
682,197.4257535,125.5738587,34219.6757,197.4257535,125.5738587,34219.6757,77.51519381,2.73953397,19.95993,822.38789,3.917188375,0.7136184,6.536798822,37.8124137,5366.927943,2.96566769,74,9.54E-01,74,9.90E-01,,,6.536798822
683,197.6186996,125.242386,3468.1591,197.6186996,125.242386,3468.1591,6,9.54E-01,6,9.90E-01,,,6.28765746,18.59312976,31669.5454,6.28765746,6,9.54E-01,6,9.90E-01,,,6.28765746
684,197.2529865,124.9112854,33916.91569,197.2529865,124.9112854,33916.91569,6,9.54E-01,6,9.90E-01,,,6.8711855,18.3411465,31153.7965,6.8711855,6,9.54E-01,6,9.90E-01,,,6.8711855
685,196.8911165,124.581643,33765.94473,196.8911165,124.581643,33765.94473,6,9.54E-01,6,9.90E-01,,,61.4575411,18.2251359,3651.61269,61.4575411,6,9.54E-01,6,9.90E-01,,,61.4575411
686,196.52924,124.2529937,33615.24765,196.52924,124.2529937,33615.24765,6,9.54E-01,6,9.90E-01,,,62.257527,17.7489271,3162.3237,62.257527,6,9.54E-01,6,9.90E-01,,,62.257527
687,196.9611611,123.997852,33457.33476,196.9611611,123.997852,33457.33476,77.374387,19.31629167,19.6236593,793.689564,3.37992819,0.661159,7.35761915,33.2854346,4771.589285,3.884372194,74,,74,,,,7.35761915
688,197.592989,123.74332,3334.94773,197.592989,123.74332,3334.94773,75.7146973,18.473715,15.9534455,341.94437,2.95855895,0.3423518,8.34385738,29.2689594,4314.166862,4.877111124,72.3596847,3.229843358,13.498425,1.43188812,,,8.34385738
689,198.589131,124.734122,33164.15581,198.589131,124.734122,33164.15581,88.6956272,41.35912199,115.5865245,171.77249,0.16862712,0.887343,9.343694737,26.12957735,3934.25855,5.8771699,93.56777962,46.92821331,119.2934591,222.25725,,,9.343694737
69,199.1647991,123.751716,3318.14925,199.1647991,123.751716,3318.14925,6,1.17E-01,6,1.36E-01,,,62.5977432,17.4852495,29684.633,62.5977432,6,1.17E-01,6,1.36E-01,,,62.5977432
691,198.7895626,123.43122,32872.39555,198.7895626,123.43122,32872.39555,6,9.54E-01,6,9.90E-01,,,63.1654663,17.2196887,29218.88521,63.1654663,6,9.54E-01,6,9.90E-01,,,63.1654663
692,199.136792,123.2631226,32712.953,199.136792,123.2631226,32712.953,86.55936999,9.559339169,111.3217164,91.3896534,-9.55E-18,,5.258313635,31.52149758,32.838626,5.258313635,86.55936999,9.559339169,86.55936999,91.3896534,,,5.258313635
693,2.1367768,123.96927,32554.95333,2.1367768,123.96927,32554.95333,86.55938914,9.55931612,15.4826423,91.38181578,-0.67527314,-0.113138,5.258343432,31.52129944,32.8379952,5.258343432,86.55938914,9.55931612,15.4826423,91.38181578,-0.67527314,-0.113138,5.258343432
694,21.1367699,122.9323713,32398.51752,21.1367699,122.9323713,32398.51752,86.559389,9.559316185,15.4825881,91.38181835,-0.23684921,-0.3553376,5.258342521,31.5213584,32.8381498,5.258342521,86.559389,9.559316185,15.4825881,91.38181835,-0.23684921,-0.3553376,5.258342521
695,22.35325,123.299364,32265.15519,22.35325,123.299364,32265.15519,99.28948145,5.77828286,123.92585,2578.52441,-1.867833252,-0.85626,1.22282959,23.75731759,361.3184,6.899492,18.776177,56.74668399,131.568478,322.186144,,,1.22282959
696,22.649241,123.162749,32122.539,22.649241,123.162749,32122.539,96.31839449,49.38294,147.681145,596.34129,994.417645,0.27374781,11.24479,21.661153,3324.775864,7.7887859,13.2841558,54.87725154,151.939864,624.422669,123.74927,0.33357697,11.24479
697,23.649117,122.736295,3198.247,23.649117,122.736295,3198.247,93.8341927,48.3892795,145.4532667,597.785678,187.99425,0.37112441,12.2447831,19.88534382,387.64582,8.788785424,99.4191367,53.28778,149.5228,6145.267977,1369.197886,0.349434565,12.2447831
698,24.43736,122.4293621,31842.932,24.43736,122.4293621,31842.932,6,6.74E-01,6,4.55E-01,,,63.72921114,16.9659844,28764.46356,63.72921114,6,6.74E-01,6,4.55E-01,,,63.72921114
699,24.28582,122.192257,31698.3996,24.28582,122.192257,31698.3996,165.9372976,233.633161,313.1532785,12563.662,-1436.368556,-0.18276896,18.9561393,1.45934392,4.53721111,1,74,,74,,,,18.9561393
61,24.9842734,121.888859,31562.53792,24.9842734,121.888859,31562.53792,6,6.74E-01,6,4.55E-01,,,64.2883313,16.71679575,2832.93446,64.2883313,6,6.74E-01,6,4.55E-01,,,64.2883313
611,25.9842534,121.6563181,3142.38951,25.9842534,121.6563181,3142.38951,165.12595,232.7282318,311.2999843,124743.3231,-127.121249,-0.13165725,19.836448,1.447461935,4.183459,1,74,,74,,,,19.836448
612,26.93633,121.4259872,31279.45317,26.93633,121.4259872,31279.45317,92.3223969,46.46852583,137.6592532,5151.327237,1143.91828,0.359959585,13.19352,18.46131298,2876.52859,1,74,,74,,,,13.19352
613,27.8946795,121.1593811,31143.782,27.8946795,121.1593811,31143.782,164.257617,231.865347,39.3139112,12392.9399,-688.4976885,-0.8886576,11.788779,1.434962991,39.8378544,1.999565352,69.9991352,3.99999995,11.862551,15.99999924,,,11.788779
614,28.8936725,121.4889297,3117.18978,28.8936725,121.4889297,3117.18978,164.436538,23.838485,39.4364673,123715.5978,-729.196442,-0.9452616,111.7881712,1.422132794,39.49972254,2.999555667,11.53457,56.66523829,132.5789428,321.94923,,,111.7881712
615,29.8351331,121.2244891,3883.97642,29.8351331,121.2244891,3883.97642,163.563557,229.9977519,329.597517,145448.3395,-371.344934,-0.4386357,112.7568442,1.4987913,39.16619454,3.99871585,99.4742,52.64142813,684.8587,3846.3149,3185.49144,0.957372952,112.7568442
616,21.428567,12.96253,3751.63321,21.428567,12.96253,3751.63321,162.74238,229.164247,338.7191971,156659.2233,-2457.99881,-0.2798798,113.53898,1.399928812,38.83237573,4.9995765,92.38842166,48.89144589,82.257244,411947.2627,1873.89741,0.59649154,113.53898
617,211.428379,12.7294,362.468,211.428379,12.7294,362.468,161.859965,228.338741,338.3144482,156533.566,-3475.38366,-0.39613641,114.538878,1.38776537,38.513189,5.9995724,87.9837129,45.6969197,81.532713,411945.621,14832.6555,0.5572531,114.538878
618,211.4836568,12.415643,3492.95848,211.4836568,12.415643,3492.95848,6,,6,,,,64.837488,16.47482854,27887.82742,64.837488,6,,6,,,,64.837488
619,212.422462,12.196567,3359.5394,212.422462,12.196567,3359.5394,91.1249882,45.273992,136.7856655,597.448633,114.11827,0.3721759,14.97478,17.21596529,2691.347119,1.992988255,74,,74,,,,14.97478
611,212.23925,119.9126467,3233.32493,212.23925,119.9126467,3233.32493,6,9.54E-01,6,9.90E-01,,,65.3852754,16.2387643,27464.929,65.3852754,6,9.54E-01,6,9.90E-01,,,65.3852754
6111,212.656432,119.6967457,311.283,212.656432,119.6967457,311.283,161.895197,227.4829746,342.4251248,15531.3769,-455.747314,-0.46592145,114.464959,1.392126,38.17483254,1,74,,74,,,,114.464959
6112,213.656312,119.4454224,29973.56749,213.656312,119.4454224,29973.56749,16.2629885,226.66495,342.37714,155177.8531,-4271.986714,-0.4925359,115.464895,1.382166,37.8597136,6.91293864,84.836372,42.96432285,754.3975,327436.2445,13156.81697,0.535159128,115.464895
6113,214.61596,119.252332,29841.8692,214.61596,119.252332,29841.8692,159.5539594,225.8132332,338.132231,153513.4493,-3683.73255,-0.4287499,116.22242,1.36839157,37.5489535,7.911468526,83.943667,4.228994,685.333397,336759.7252,13385.47745,0.573488251,116.22242
6114,214.894254,119.44961,29716.13636,214.894254,119.44961,29716.13636,158.7518488,225.84951,337.7542725,153393.3241,-3476.169425,-0.4599615,116.6347317,1.36793799,37.23368942,8.88559293,81.92412824,38.31198221,685.588968,336759.384,13669.1443,0.614815789,116.6347317
6115,215.54822,118.795659,29587.59776,215.54822,118.795659,29587.59776,89.8644289,43.691121,136.244619,551.446218,1131.236992,0.37868977,14.8181169,16.1878386,2524.32665,2.96586838,74,,74,,,,14.8181169
6116,216.84787,118.5883531,29459.91532,216.84787,118.5883531,29459.91532,158.286883,224.182455,335.638376,152522.8566,-373.377215,-0.36126549,117.1964634,1.353816936,36.92164229,1.99275629,74,,14.651836,,,,117.1964634
6117,217.847752,118.41383,29331.76221,217.847752,118.41383,29331.76221,157.351663,223.351994,335.3197786,1524.8555,-2892.654517,-0.34128577,118.196457,1.34236347,36.62464227,9.851672189,81.5258721,36.33485432,628.8521782,337279.78,1333.62691,0.63453689,118.196457
6118,218.84772,118.2161276,2924.7154,218.84772,118.2161276,2924.7154,156.6858851,222.538427,335.78992,152281.3991,-2726.18581,-0.3228328,119.1964553,1.33111295,36.33236993,1.8516724,81.28989,34.63525624,628.811388,337279.2574,1286.13772,0.636658175,119.1964553
6119,219.84776,117.977791,2983.839,219.84776,117.977791,2983.839,155.931446,221.7562524,334.655687,152169.8369,-2539.21796,-0.3173993,12.1964545,1.3226922,36.447135,2.99275478,71.32683351,3.77352794,12.7789725,14.23951284,,,12.1964545
612,22.845186,12.336759,317.9329,22.845186,12.336759,317.9329,159.97381,225.863123,336.523588,152657.241,-3454.961277,-0.4448791,121.1963162,1.39136649,35.7615689,3.9927235,213.36132,245.1144953,225.491772,681.1158,,,121.1963162
6121,22.9286514,12.629739,349.93627,22.9286514,12.629739,349.93627,159.82625,224.343534,334.745339,1496.738,-4592.185417,-0.5464732,122.114832,1.299252759,35.4852999,11.84397418,79.4188253,33.66127,628.5814927,337279.273,13183.48941,0.67438876,122.114832
6122,221.9286437,119.8193686,29927.64335,221.9286437,119.8193686,29927.64335,158.326533,223.586667,333.7151543,148946.613,-4716.778813,-0.56319694,123.114789,1.288699248,35.2592951,4.98987425,183.5432286,226.9435551,268.653545,58272.58683,3625.84731,0.817351668,123.114789
6123,222.6418792,119.577638,2986.17416,222.6418792,119.577638,2986.17416,157.5816696,222.836366,333.362413,148834.4795,-4839.16713,-0.57975681,123.951421,1.27987366,34.9316263,5.983426553,163.8984268,211.747466,255.635583,52457.8959,2274.219,0.64954697,123.951421
6124,223.4558674,119.3378697,29685.5756,223.4558674,119.3378697,29685.5756,156.8481233,222.918935,333.162876,148724.3449,-4955.376,-0.59566841,124.8478437,1.27522277,34.6625437,6.978427547,149.869738,198.9296155,246.875588,4853.2851,16779.9397,0.51892641,124.8478437
6125,224.4558257,119.1358795,29562.43684,224.4558257,119.1358795,29562.43684,156.189834,221.33166,332.76738,148612.6435,-557.221543,-0.6135,125.847824,1.26426788,34.39979682,1,74,,74,,,,125.847824
6126,225.322122,118.9577,29443.7116,225.322122,118.9577,29443.7116,155.4783751,22.5996789,329.97223,1478.3551,-4543.15794,-0.55279479,126.7728554,1.251162479,34.13924171,1.99944321,69.9988829,3.999999822,11.8618337,15.99999858,,,126.7728554
6127,226.321861,121.282633,3592.7957,226.321861,121.282633,3592.7957,159.411391,224.1523349,33.9732473,14761.6747,-5389.59517,-0.64538217,127.772786,1.241371693,33.8842681,2.999424,266.382824,277.219471,276.1383127,7685.6346,,,127.772786
6128,227.3387,121.388554,347.8787,227.3387,121.388554,347.8787,158.6858548,223.437493,329.8421365,144823.415,-581.854,-0.7525971,128.7625125,1.2318232,33.6327969,3.999162656,216.18248,255.2212214,3.2416566,68493.3573,25776.4239,0.6945164,128.7625125
6129,228.322899,12.7977766,335.6223,228.322899,12.7977766,335.6223,157.9715771,222.7156879,329.499951,144713.3826,-5874.79364,-0.71541336,129.7616566,1.222334765,33.3851677,4.99913674,186.9476,236.283636,279.4291891,59598.414,17537.76844,0.51617877,129.7616566
613,229.298433,12.5936854,3227.76842,229.298433,12.5936854,3227.76842,157.3293936,221.9829961,329.1916958,14462.254,-593.853482,-0.7246243,13.7594629,1.2135453,33.1418357,1,74,,74,,,,13.7594629
6131,23.29395,12.3566245,319.39689,23.29395,12.3566245,319.39689,156.6362276,221.2816,325.7936639,143167.4619,-5431.857129,-0.6692538,131.7568797,1.2382693,32.958211,1.99998245,69.9999649,4,11.8626255,16,,,131.7568797
6132,231.2895539,123.995541,3328.64462,231.2895539,123.995541,3328.64462,162.727972,231.1826815,328.75349,14476.9671,-6721.54393,-0.79262274,132.754393,1.194773175,32.66353674,2.999942497,367.33963,42.575493,374.7184884,176826.599,,,132.754393
6133,232.2732181,123.7458543,329.86561,232.2732181,123.7458543,329.86561,161.9797587,23.4673999,328.3352394,143757.1719,-6511.44378,-0.7731741,133.745166,1.185916149,32.42972772,3.99973614,291.999188,386.838937,372.161,16921.9736,48267.45522,0.44515163,133.745166
6134,233.2686925,123.498335,32774.5658,233.2686925,123.498335,32774.5658,161.2674384,229.7583188,327.9844111,143636.9173,-6327.61513,-0.75351221,134.742417,1.177135653,32.19935944,4.999652683,246.796247,357.61745,337.699396,1599.5238,49512.7418,0.4939522,134.742417
6135,234.2686813,123.287149,32644.5793,234.2686813,123.287149,32644.5793,16.6245483,229.3261,327.6687852,143514.7955,-6159.548127,-0.73582418,135.742443,1.168463869,31.97228275,1,74,,74,,,,135.742443
6136,235.2627317,123.435126,32519.7322,235.2627317,123.435126,32519.7322,159.9325396,228.3354286,324.4536,142145.6143,-5667.391913,-0.68254373,136.7389569,1.159945449,31.74831259,5.999525469,216.661126,333.3311862,293.237934,129848.921,48439.78624,0.5666123,136.7389569
6137,236.24951,122.82581,32395.76851,236.24951,122.82581,32395.76851,159.25541,227.6447292,324.1146636,1423.3989,-551.345234,-0.66455639,137.7312722,1.151582517,31.52736628,1.99991845,69.9998368,3.999999997,11.862545,15.99999997,,,137.7312722
6138,237.2491824,125.5721327,3472.351,237.2491824,125.5721327,3472.351,163.725211,232.822117,326.3364259,142917.4654,-6434.584389,-0.76597,138.731812,1.143283133,31.3959792,2.999915632,36.6732138,334.7155739,315.4749753,11234.5154,,,138.731812
